gameId,playId,target_rush,qb_depth,rb_depth,fb_depth,absoluteYardlineNumber,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,offenseFormation,receiverAlignment,pff_passCoverage,pff_manZone,homeTeamPossession,quarter,down,yardsToGo,gameClock,possessionTeam,preSnapHomeScore,preSnapVisitorScore,RB_snap_motion,WR_snap_motion,FB_snap_motion,TE_snap_motion,RB_motion,WR_motion,FB_motion,TE_motion,RB_shift,WR_shift,FB_shift,TE_shift,week
2022091100,4068,0,14.990001831054698,9.9900018310546983,0.0,70,0.434158638181786,0.565841361818214,NA,NA,NA,NA,0,4,1,10,00:38,NO,26,24,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091100,4131,0,1.1299978637695034,6.4699978637695068,0.0,77,0.4394187733531,0.5605812266469,NA,NA,NA,NA,0,4,3,3,00:24,NO,26,24,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091101,4128,0,0.94999923706049572,4.1399992370605005,0.0,59,0.462624424789101,0.537375575210899,NA,NA,NA,NA,0,4,1,10,00:29,CLE,24,23,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091101,4174,0,1.0400006103515977,4.0800006103515969,0.0,50,0.46535336834689,0.53464663165311,NA,NA,NA,NA,0,4,3,1,00:14,CLE,24,23,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091103,5120,0,1.0699987792969097,3.6999987792969051,0.0,75,0.330261733570162,0.669738266429838,NA,NA,NA,NA,0,5,1,10,00:09,PIT,20,20,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091104,4513,0,1.1499996948242028,2.1399996948242048,0.0,66,0.00960807967931032,0.99039192032069,NA,NA,NA,NA,0,4,1,15,00:37,PHI,35,38,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091106,1709,0,1.6200009155272994,0.0,0.0,85,0.935443826951087,0.0645561730489135,NA,NA,NA,NA,0,2,1,10,00:18,NE,17,0,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091107,4171,0,1.1099999999999994,1.8900000000000006,1.6499999999999986,52,0.00193433236563578,0.998065667634364,NA,NA,NA,NA,0,4,1,10,00:59,BAL,9,24,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091107,4200,0,1.5600001525878966,2.3500001525878957,1.8900001525878949,53,0.00345485447905958,0.99654514552094,NA,NA,NA,NA,0,4,2,11,00:17,BAL,9,24,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091112,1884,0,1.4200006103516003,2.5800006103516004,0.0,26,0.921851711347699,0.0781482886523008,NA,NA,NA,NA,0,2,1,10,00:06,GB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091112,3744,0,0.68999832153320284,2.979998321533202,0.0,62,0.996660411241464,0.00333958875853568,NA,NA,NA,NA,0,4,1,10,00:02,GB,23,7,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091113,3995,0,1.0300015258789017,2.3600015258789,0.0,60,0.00368011952377856,0.996319880476221,NA,NA,NA,NA,0,4,1,10,00:49,TB,3,19,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091113,4016,0,1.0899989318848,2.1599989318848003,0.0,60,0.00368011952377856,0.996319880476221,NA,NA,NA,NA,0,4,2,10,00:33,TB,3,19,0,0,0,1,0,0,0,1,0,0,0,0,week_1
2022091500,1787,0,1.3999975585940092,2.879997558593999,0.0,101,0.510654307901859,0.489345692098141,NA,NA,NA,NA,0,2,1,10,00:06,LAC,7,10,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022091801,4307,0,0.98000183105470029,2.2100018310547043,0.0,60,0.0116368946619332,0.988363105338067,NA,NA,NA,NA,0,4,1,10,00:06,NYJ,30,31,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022091804,4447,0,1.2399981689452986,2.2999981689453008,0.0,42,0.00441381894052029,0.99558618105948,NA,NA,NA,NA,0,4,1,10,00:03,TB,10,20,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022091806,3738,0,1.3999996948241993,1.7099996948242016,0.0,25,0.0114151481539011,0.988584851846099,NA,NA,NA,NA,0,4,1,10,01:40,NE,14,17,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022091806,3769,0,1.3200003051757996,1.9900003051757977,0.0,29,0.0118749109096825,0.988125089090317,NA,NA,NA,NA,0,4,2,14,00:58,NE,14,17,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022091810,2327,0,1.1300012207030932,2.3800012207030932,1.9900012207030997,35,0.743600867688656,0.256399132311344,NA,NA,NA,NA,0,2,1,10,00:20,HOU,6,6,0,0,0,0,0,0,0,0,0,0,0,0,week_2
2022092503,2018,0,0.910000152587898,2.160000152587898,0.0,51,0.397169474512339,0.602830525487661,NA,NA,NA,NA,0,2,1,10,00:15,BUF,14,14,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092504,4277,0,1.3400007629395034,4.730000762939504,0.0,60,0.953017649054527,0.0469823509454728,NA,NA,NA,NA,0,4,1,10,00:24,DET,28,24,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092505,3806,0,1.2099992370604937,2.259999237060498,1.3999992370604986,54,0.00368332141079009,0.99631667858921,NA,NA,NA,NA,0,4,1,10,01:55,BAL,26,37,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092505,3858,0,1.4000015258788991,1.6600015258788972,1.2700015258788966,52,0.00372336222790182,0.996276637772098,NA,NA,NA,NA,0,4,3,12,00:32,BAL,26,37,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092506,4364,0,1.2800003051758004,2.2700003051758006,0.0,14,0.00377210369333625,0.996227896306664,NA,NA,NA,NA,0,4,1,10,00:55,CIN,12,27,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092508,4330,0,1.4699972534180006,2.6299972534179972,0.0,81,0.00379573972895741,0.996204260271043,NA,NA,NA,NA,0,4,1,10,01:04,PHI,8,24,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092508,4351,0,2.9700012207030966,3.8200012207030909,0.0,79,0.00361395720392466,0.996386042796075,NA,NA,NA,NA,0,4,2,12,00:34,PHI,8,24,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092509,2062,0,1.0700003814697006,2.2200003814697027,0.0,31,0.305475823581219,0.694524176418781,NA,NA,NA,NA,0,2,1,10,00:11,JAX,7,16,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092509,4008,0,6.9700000762939,7.4900000762938994,0.0,21,0.00392693793401122,0.996073062065989,NA,NA,NA,NA,0,4,1,10,00:03,JAX,10,38,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092510,3999,0,1.3099990844727003,1.9199990844726997,0.0,57,0.0051207656506449,0.994879234349355,NA,NA,NA,NA,0,4,1,10,01:06,LA,12,20,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092510,4020,0,1.3100006103516009,1.870000610351596,0.0,58,0.00512499269098043,0.99487500730902,NA,NA,NA,NA,0,4,2,11,00:30,LA,12,20,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092511,3720,0,1.0599966430664125,1.9099966430664068,1.5099966430664011,82,0.00733106397092342,0.992668936029077,NA,NA,NA,NA,0,4,1,10,01:06,ATL,23,27,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092511,3751,0,0.91000366210940342,1.6300036621094023,1.0400036621093989,83,0.00735777150839567,0.992642228491604,NA,NA,NA,NA,0,4,2,11,00:36,ATL,23,27,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092512,3949,0,1.099998168945298,1.7699981689452997,0.0,55,0.0111839985474944,0.988816001452506,NA,NA,NA,NA,0,4,1,10,00:13,GB,12,14,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092600,4106,0,1.2800000000000011,2.0799999999999983,0.0,81,0.00628345971927047,0.99371654028073,NA,NA,NA,NA,0,4,1,10,01:11,DAL,16,23,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022092600,4127,0,1.1199996948242017,2.1299996948242068,0.0,80,0.00588968629017472,0.994110313709825,NA,NA,NA,NA,0,4,2,11,00:39,DAL,16,23,0,0,0,0,0,0,0,0,0,0,0,0,week_3
2022100202,3921,0,1.4299998474121,2.2599998474121,2.0699998474121006,11,0.0533167496323586,0.946683250367641,NA,NA,NA,NA,0,4,1,1,01:02,BUF,20,20,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100202,3942,0,0.88999988555909937,2.2299998855590992,1.4599998855590997,12,0.0260262694209814,0.973973730579019,NA,NA,NA,NA,0,4,2,2,00:36,BUF,20,20,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100203,3945,0,1.2700024414061915,1.9700024414061943,0.0,84,0.00506951636634767,0.994930483633652,NA,NA,NA,NA,0,4,1,10,02:00,ARI,16,26,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100203,3973,0,1.280003662109408,1.7900036621093989,0.0,83,0.00511020608246326,0.994889793917537,NA,NA,NA,NA,0,4,2,11,01:18,ARI,16,26,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100203,3994,0,0.090001220703101126,0.6500012207031034,0.0,82,0.00525286979973316,0.994747130200267,NA,NA,NA,NA,0,4,3,12,00:35,ARI,16,26,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100205,4541,0,1.0899969482422023,1.5799969482421972,0.0,76,0.012804928701371,0.987195071298629,NA,NA,NA,NA,0,4,1,10,00:54,SEA,45,48,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100205,4569,0,1.4099996948242079,1.6199996948242017,0.0,75,0.0128184696659446,0.987181530334055,NA,NA,NA,NA,0,4,2,11,00:30,SEA,45,48,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100207,3548,0,1.4600012207030986,2.090001220703094,0.0,56,0.00748929334804416,0.992510706651956,NA,NA,NA,NA,0,4,1,10,01:42,TEN,17,24,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100207,3576,0,1.4099983215332017,1.7699983215332011,0.0,57,0.00753407599404454,0.992465924005955,NA,NA,NA,NA,0,4,2,11,01:09,TEN,17,24,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100207,3597,0,1.6799998474121054,1.5199998474121017,0.0,58,0.00786079559475183,0.992139204405248,NA,NA,NA,NA,0,4,3,12,00:38,TEN,17,24,0,0,0,0,0,0,0,0,0,0,0,0,week_4
2022100600,4237,0,1.0099993133544984,3.149999313354499,0.0,18,0.359905496239662,0.640094503760338,NA,NA,NA,NA,0,4,2,1,00:14,IND,9,6,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100900,3689,0,1.0299991607666019,1.9399991607666021,0.0,17,0.007424789480865,0.992575210519135,NA,NA,NA,NA,0,4,1,10,01:02,NYG,20,27,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100900,3738,0,1.4299999999999997,1.67,0.0,15,0.00574742769822478,0.994252572301775,NA,NA,NA,NA,0,4,3,12,00:58,NYG,20,27,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100902,2196,0,1.3000012207030949,2.1800012207030903,0.0,75,0.610627174377441,0.389372825622559,NA,NA,NA,NA,0,2,1,10,00:11,LAC,21,17,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100903,1961,0,1.1400015258789011,2.1900015258788983,1.9100015258788972,35,0.728554714471102,0.271445285528898,NA,NA,NA,NA,0,2,1,10,00:06,HOU,6,6,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100905,3669,0,1.5299972534180029,2.3999972534179932,0.0,80,0.998669920896646,0.00133007910335436,NA,NA,NA,NA,0,4,1,10,00:22,DET,29,0,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100910,4183,0,1.3200018310547037,1.7400018310546983,1.9400018310547011,40,0.00244295806623995,0.99755704193376,NA,NA,NA,NA,0,4,1,10,00:22,SF,15,37,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100911,4070,0,1.329998931884802,2.4399989318848014,0.0,43,0.0094044771976769,0.990595522802323,NA,NA,NA,NA,0,4,1,10,00:17,PHI,17,20,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100912,3651,0,1.460000457763698,2.3600004577637037,0.0,49,0.00560878217220306,0.994391217827797,NA,NA,NA,NA,0,4,1,10,01:31,DAL,10,22,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100912,3672,0,1.3599989318848031,2.1199989318848012,0.0,48,0.00547516066581011,0.99452483933419,NA,NA,NA,NA,0,4,2,11,00:52,DAL,10,22,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100912,3693,0,1.5299998474120997,2.1699998474121003,0.0,47,0.00547034479677677,0.994529655203223,NA,NA,NA,NA,0,4,3,12,00:28,DAL,10,22,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022100909,4094,1,1.4899996948241991,2.3099996948241994,0.0,11,0.00754098687320948,0.992459013126791,JUMBO,2x1,NA,NA,0,4,1,10,00:06,TEN,17,21,0,0,0,0,0,0,0,0,0,0,0,0,week_5
2022101601,4493,0,1.4100009155273057,2.0600009155272971,0.0,73,0.00198465539142489,0.998015344608575,NA,NA,NA,NA,0,4,1,10,01:50,NE,15,38,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101601,4516,0,1.4600006103515994,1.8900006103516063,0.0,75,0.00184998556505889,0.998150014434941,NA,NA,NA,NA,0,4,2,12,01:09,NE,15,38,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101601,4539,0,1.1699966430664119,2.0199966430664062,0.0,76,0.00230941630434245,0.997690583695658,NA,NA,NA,NA,0,4,3,13,00:29,NE,15,38,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101610,4119,0,1.3799981689452991,1.6999981689452994,1.9099981689453003,34,0.0100506180897355,0.989949381910264,NA,NA,NA,NA,0,4,2,4,00:46,BUF,20,24,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101610,4147,0,1.4499986267089966,1.9999986267090009,2.1199986267089983,38,0.00870288256555796,0.991297117434442,NA,NA,NA,NA,0,4,3,8,00:43,BUF,20,24,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101608,1661,0,1.490000915527304,2.4600009155273028,0.0,75,0.604733742773533,0.395266257226467,NA,NA,NA,NA,0,2,1,10,00:16,CAR,7,10,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101605,4078,0,0.58999832153320142,1.479998321533202,0.0,62,0.00761336321011186,0.992386636789888,NA,NA,NA,NA,0,4,1,10,00:27,CIN,26,30,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101603,2197,0,0.53999893188480286,0.4100010681152,0.0,35,0.495826408267021,0.504173591732979,NA,NA,NA,NA,0,2,1,10,00:21,JAX,13,14,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101604,4129,0,1.2799990844726992,2.0699990844726983,0.59999908447269945,64,0.00454979506321251,0.995450204936787,NA,NA,NA,NA,0,4,2,11,00:42,MIN,16,24,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101602,3930,0,1.2400012207030997,2.7300012207030946,0.0,42,0.00489991367794573,0.995100086322054,NA,NA,NA,NA,0,4,1,10,01:57,NYJ,10,27,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022101602,3955,0,1.3000013732910034,2.5100013732910043,0.0,43,0.00491681089624763,0.995083189103752,NA,NA,NA,NA,0,4,2,11,01:15,NYJ,10,27,0,0,0,0,0,0,0,0,0,0,0,0,week_6
2022102000,1858,0,8.6700003051758,1.4400003051758006,0.0,19,0.881981318816543,0.118018681183457,NA,NA,NA,NA,0,2,1,10,00:42,NO,28,14,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102306,4159,0,0.859998168945296,4.2999981689453008,0.0,56,0.925662316428497,0.0743376835715026,NA,NA,NA,NA,0,4,1,10,00:06,GB,23,21,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102309,2323,0,1.4300008392333972,2.2500008392333974,0.0,19,0.241284251213074,0.758715748786926,NA,NA,NA,NA,0,2,1,10,00:25,SEA,14,24,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102309,4309,0,1.3400000000000034,2.2000000000000028,0.0,80,0.00372413010336459,0.996275869896635,NA,NA,NA,NA,0,4,2,6,00:34,SEA,23,37,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102310,4550,0,1.2700003051757989,1.6700003051757975,1.0800003051757976,30,0.00215964647941291,0.997840353520587,NA,NA,NA,NA,0,4,1,10,01:30,KC,23,44,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102310,4571,0,1.3900005340575987,1.950000534057601,1.4000005340576003,29,0.00209141767118126,0.997908582328819,NA,NA,NA,NA,0,4,2,11,00:49,KC,23,44,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102400,3724,0,0.739996948242009,6.0599969482420022,0.0,108,0.00300622975919396,0.996993770240806,NA,NA,NA,NA,0,4,4,2,00:27,CHI,14,33,0,0,0,0,0,0,0,0,0,0,0,0,week_7
2022102700,2058,0,1.3800000000000026,3.8400000000000034,0.0,53,0.742757800966501,0.257242199033499,NA,NA,NA,NA,0,2,1,10,00:09,BAL,10,3,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022102700,4356,0,1.2900007629395063,2.1200007629395046,1.4200007629395017,64,0.00896924966946244,0.991030750330538,NA,NA,NA,NA,0,4,1,10,00:48,BAL,22,27,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103003,3917,0,0.76000061035161082,0.77000061035160172,1.1500006103516114,86,0.00878304615616798,0.991216953843832,NA,NA,NA,NA,0,4,1,10,01:40,MIA,27,31,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103003,3945,0,1.1099963378905926,1.4999963378905932,1.4299963378906,86,0.00863511255010962,0.99136488744989,NA,NA,NA,NA,0,4,2,10,00:58,MIA,27,31,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103004,3370,0,3.370000610351596,3.7700006103515946,0.0,60,0.00816254829987884,0.991837451700121,NA,NA,NA,NA,0,4,1,10,00:16,TEN,10,17,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103005,4504,0,0.11999954223630027,3.1799995422363025,0.0,47,0.971446019597352,0.0285539804026484,NA,NA,NA,NA,0,4,1,10,00:28,ARI,34,26,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103007,4071,0,1.4100004577637009,1.8000004577637014,0.0,53,0.00654040044173598,0.993459599558264,NA,NA,NA,NA,0,4,1,10,01:50,NE,17,22,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022103007,4092,0,1.3800001525878969,1.8500001525878957,0.0,55,0.00657940609380603,0.993420593906194,NA,NA,NA,NA,0,4,2,12,01:09,NE,17,22,0,0,0,0,0,0,0,0,0,0,0,0,week_8
2022110300,3579,0,1.3199969482422063,2.239996948242208,0.0,75,0.00417211162857711,0.995827888371423,NA,NA,NA,NA,0,4,1,10,00:55,PHI,17,29,0,0,0,0,0,0,0,0,0,0,0,0,week_9
2022110603,1826,0,1.2100033569335977,2.4100033569336006,0.0,85,0.677041843533516,0.322958156466484,NA,NA,NA,NA,0,2,1,10,00:15,GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,week_9
2022110608,4281,0,1.2899998474121013,2.1399998474120956,0.0,31,0.00774450274184346,0.992255497258157,NA,NA,NA,NA,0,4,1,10,01:00,SEA,21,31,0,0,0,0,0,0,0,0,0,0,0,0,week_9
2022110608,4303,0,0.24000091552730396,0.23000091552729884,0.0,32,0.00780586246401072,0.992194137535989,NA,NA,NA,NA,0,4,2,11,00:34,SEA,21,31,0,0,0,0,0,0,0,0,0,0,0,0,week_9
2022110609,2122,0,0.13999977111819817,0.79999977111819831,0.0,25,0.519647154957056,0.480352845042944,NA,NA,NA,NA,0,2,1,10,00:21,LA,6,7,0,0,0,0,0,0,0,0,0,0,0,0,week_9
2022091101,1492,0,4.4300016784667982,1.7900016784667976,0.0,33,0.304628908634186,0.695371091365814,EMPTY,4x1,Cover-1,Man,0,2,3,9,07:49,CLE,0,7,0,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091102,595,0,3.1599996948242079,0.0,0.14000030517578921,81,0.340466829016805,0.659533170983195,EMPTY,3x2,Cover-1,Man,0,1,3,7,05:58,SF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,week_1
2022091103,2851,0,4.9499981689452994,2.099998168945298,0.0,40,0.341567508876324,0.658432491123676,EMPTY,3x2,Cover-0,Man,0,4,3,10,11:24,PIT,14,17,0,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091104,412,0,5.0799983215332034,1.0899983215332014,0.0,54,0.520615212619305,0.479384787380695,EMPTY,3x2,Cover-0,Man,0,1,2,10,08:44,PHI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091104,1273,0,5.050003662109404,6.7600036621093977,0.0,66,0.359425820410252,0.640574179589748,EMPTY,4x1,Cover-1,Man,0,2,3,6,10:17,PHI,7,7,1,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091104,1634,1,5.3000008392333982,1.8800008392334,0.0,16,0.285190537571907,0.714809462428093,EMPTY,3x2,Cover-0,Man,0,2,2,6,07:52,PHI,7,7,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091105,379,0,5.2900004577637034,1.6000004577636986,0.0,53,0.232923462986946,0.767076537013054,EMPTY,3x2,Cover-1,Man,0,1,3,7,08:01,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091105,3139,0,5.0000027465819983,1.1800027465820051,0.0,97,0.925000593066216,0.0749994069337845,EMPTY,3x2,Cover-1,Man,0,4,2,4,11:45,IND,20,3,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091105,4488,0,5.1499993896484,1.7899993896484006,0.0,60,0.395805452860571,0.604194547139429,EMPTY,3x2,Cover-1,Man,0,5,2,13,05:27,IND,20,20,0,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091107,595,0,5.6400015258789011,0.0,2.370001525878898,45,0.409738127142191,0.590261872857809,EMPTY,3x2,Cover-1,Man,0,1,3,9,06:13,BAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,week_1
2022091107,3139,0,5.0700024414061886,0.0,1.6000024414061897,93,0.00395667005795985,0.99604332994204,EMPTY,3x2,Cover-1,Man,0,4,3,8,12:01,BAL,3,24,0,0,0,0,0,0,0,1,0,0,0,0,week_1
2022091109,1570,0,4.6399972534180023,5.8599972534180012,0.0,107,0.75760168209672,0.24239831790328,EMPTY,3x2,Cover-1,Man,0,2,2,3,05:09,JAX,14,3,1,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091109,2061,0,3.9299975585938114,1.0299975585938057,0.0,96,0.781118169426918,0.218881830573082,EMPTY,3x2,Cover-1,Man,0,2,1,14,00:37,JAX,14,3,0,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091110,1515,0,4.5999987792969037,5.7299987792969063,0.0,40,0.0581248626112938,0.941875137388706,EMPTY,4x1,Cover-1,Man,0,2,2,5,05:21,KC,7,20,1,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091110,2126,0,4.58000213623049,2.9900021362305012,0.0,74,0.0447814827784896,0.95521851722151,EMPTY,4x1,2-Man,Man,0,2,1,10,00:14,KC,7,20,1,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091110,2698,0,4.1700013732910008,0.93000137329099886,0.0,48,0.00430778681766242,0.995692213182338,EMPTY,3x2,Cover-1,Man,0,3,2,6,08:10,KC,7,30,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091110,3399,0,4.1599993896484051,1.379999389648404,0.0,57,0.00117703029536642,0.998822969704634,EMPTY,3x2,Cover-1,Man,0,4,3,2,10:45,KC,15,37,0,0,0,0,0,0,0,0,0,0,0,0,week_1
2022091113,824,0,4.7299963378905971,2.2899963378905994,0.0,90,0.351908259093761,0.648091740906239,EMPTY,3x2,Cover-1,Man,0,1,3,5,01:13,TB,3,3,0,0,0,0,1,0,0,0,0,0,0,0,week_1
2022091113,1101,0,4.9099989318848,2.0099989318848017,0.0,54,0.327265594154596,0.672734405845404,EMPTY,3x2,Cover-1,Man,0,2,2,7,12:09,TB,3,6,0,0,0,0,1,0,0,0,0,0,0,0,week_1
